order_id,order_date,customer_id,region,channel,product,category,quantity,unit_price,discount_pct,revenue,cost,profit,status,month,profit_margin
ORD00013,2024-09-11,C1020,Cork,Retail Store,Headphones,Audio,1,129.99,0.0,129.99,75.84,54.15,Completed,2024-09,0.41657050542349405
ORD00014,2024-05-22,C1180,Limerick,Marketplace,Headphones,Audio,3,129.99,0.1,350.97,247.31,103.66,Completed,2024-05,0.29535287916346126
ORD00015,2024-03-18,C1059,Cork,Website,Smart Watch,Wearables,4,149.99,0.0,599.96,300.93,299.03,Completed,2024-03,0.4984165611040735
ORD00017,2024-12-14,C1204,Waterford,Retail Store,Office Chair,Furniture,4,179.99,0.0,719.96,431.06,288.9,Completed,2024-12,0.40127229290516137
ORD00018,2024-02-04,C1053,Limerick,Mobile App,Smart Watch,Wearables,1,149.99,0.1,134.99,66.98,68.01,Completed,2024-02,0.5038150974146233
ORD00019,2024-10-01,C1025,Galway,Website,Standing Desk,Furniture,1,299.99,0.0,299.99,188.2,111.79,Completed,2024-10,0.37264575485849527
ORD00020,2024-06-26,C1154,Galway,Retail Store,USB-C Hub,Accessories,2,39.99,0.0,79.98,51.58,28.4,Completed,2024-06,0.35508877219304824
ORD00021,2024-06-08,C1021,Cork,Website,Fitness Band,Wearables,4,49.99,0.1,179.96,108.86,71.1,Completed,2024-06,0.39508779728828625
ORD00022,2024-04-15,C1243,Waterford,Marketplace,Headphones,Audio,1,129.99,0.0,129.99,79.85,50.14,Completed,2024-04,0.38572197861373947
ORD00023,2024-11-25,C1221,Dublin,Marketplace,Office Chair,Furniture,3,179.99,0.15,458.97,255.88,203.09,Completed,2024-11,0.4424907946053119
ORD00024,2024-09-14,C1084,Cork,Mobile App,Keyboard,Accessories,1,74.99,0.0,74.99,46.38,28.61,Completed,2024-09,0.3815175356714229
ORD00025,2024-09-09,C1091,Dublin,Website,Smart Watch,Wearables,2,149.99,0.0,299.98,159.58,140.4,Completed,2024-09,0.46803120208013865
ORD00026,2024-08-16,C1206,Galway,Marketplace,Fitness Band,Wearables,1,49.99,0.15,42.49,30.96,11.53,Completed,2024-08,0.2713579665803718
ORD00027,2024-09-04,C1159,Waterford,Website,Wireless Mouse,Accessories,1,19.99,0.0,19.99,11.35,8.64,Completed,2024-09,0.43221610805402705
ORD00028,2024-03-02,C1232,Limerick,Mobile App,Speaker,Audio,2,54.99,0.0,109.98,76.66,33.32,Completed,2024-03,0.30296417530460085
ORD00029,2024-07-21,C1118,Limerick,Website,Keyboard,Accessories,1,74.99,0.05,71.24,35.8,35.44,Completed,2024-07,0.4974733295901179
ORD00030,2024-08-26,C1206,Cork,Retail Store,Keyboard,Accessories,4,74.99,0.0,299.96,155.77,144.19,Completed,2024-08,0.4806974263235098
ORD00031,2024-01-08,C1204,Dublin,Mobile App,Speaker,Audio,1,54.99,0.15,46.74,24.03,22.71,Completed,2024-01,0.4858793324775353
ORD00032,2024-04-18,C1074,Waterford,Mobile App,USB-C Hub,Accessories,3,39.99,0.0,119.97,58.46,61.51,Completed,2024-04,0.5127115112111361
ORD00033,2024-02-01,C1232,Galway,Retail Store,Speaker,Audio,1,54.99,0.1,49.49,34.49,15.0,Completed,2024-02,0.3030915336431602
ORD00034,2024-03-18,C1134,Waterford,Website,Office Chair,Furniture,1,179.99,0.15,152.99,78.64,74.35,Completed,2024-03,0.4859794757827308
ORD00035,2024-08-30,C1158,Dublin,Website,Keyboard,Accessories,2,74.99,0.0,149.98,78.71,71.27,Completed,2024-08,0.47519669289238564
ORD00036,2024-02-24,C1226,Waterford,Website,Office Chair,Furniture,1,179.99,0.1,161.99,110.79,51.2,Completed,2024-02,0.31606889314155195
ORD00037,2024-10-14,C1007,Dublin,Retail Store,Headphones,Audio,1,129.99,0.0,129.99,79.55,50.44,Completed,2024-10,0.3880298484498807
ORD00038,2024-08-19,C1130,Waterford,Retail Store,Office Chair,Furniture,2,179.99,0.0,359.98,237.63,122.35,Completed,2024-08,0.3398799933329629
ORD00039,2024-04-13,C1215,Limerick,Mobile App,USB-C Hub,Accessories,2,39.99,0.05,75.98,54.7,21.28,Completed,2024-04,0.28007370360621214
ORD00040,2024-08-07,C1018,Cork,Marketplace,Smart Watch,Wearables,1,149.99,0.0,149.99,98.17,51.82,Completed,2024-08,0.34548969931328755
ORD00041,2024-03-11,C1247,Limerick,Mobile App,Keyboard,Accessories,3,74.99,0.05,213.72,110.53,103.19,Completed,2024-03,0.4828279992513569
ORD00042,2024-12-07,C1213,Cork,Mobile App,Wireless Mouse,Accessories,1,19.99,0.1,17.99,9.4,8.59,Completed,2024-12,0.4774874930516954
ORD00043,2024-06-12,C1023,Galway,Website,Office Chair,Furniture,1,179.99,0.1,161.99,86.0,75.99,Completed,2024-06,0.4691030310512994
ORD00044,2024-09-21,C1159,Galway,Website,Fitness Band,Wearables,1,49.99,0.0,49.99,28.99,21.0,Completed,2024-09,0.42008401680336066
ORD00045,2024-05-19,C1010,Cork,Marketplace,USB-C Hub,Accessories,4,39.99,0.0,159.96,80.28,79.68,Completed,2024-05,0.4981245311327832
ORD00046,2024-10-01,C1235,Waterford,Retail Store,Smart Watch,Wearables,3,149.99,0.05,427.47,250.3,177.17,Completed,2024-10,0.41446183357896454
ORD00047,2024-02-07,C1068,Dublin,Website,Wireless Mouse,Accessories,1,19.99,0.0,19.99,11.81,8.18,Completed,2024-02,0.4092046023011506
ORD00050,2024-11-17,C1078,Waterford,Mobile App,Headphones,Audio,1,129.99,0.0,129.99,93.9,36.09,Completed,2024-11,0.27763674128779137
ORD00051,2024-01-10,C1064,Dublin,Website,Office Chair,Furniture,2,179.99,0.05,341.98,195.0,146.98,Completed,2024-01,0.4297912158605766
ORD00052,2024-05-05,C1239,Limerick,Website,Office Chair,Furniture,2,179.99,0.0,359.98,220.92,139.06,Completed,2024-05,0.38629923884660256
ORD00053,2024-07-20,C1248,Waterford,Marketplace,Smart Watch,Wearables,2,149.99,0.15,254.98,177.72,77.26,Completed,2024-07,0.30300415718879914
ORD00054,2024-06-26,C1013,Cork,Website,USB-C Hub,Accessories,1,39.99,0.0,39.99,23.4,16.59,Completed,2024-06,0.4148537134283571
ORD00055,2024-07-14,C1222,Waterford,Marketplace,Headphones,Audio,1,129.99,0.0,129.99,65.25,64.74,Completed,2024-07,0.4980383106392799
ORD00057,2024-06-07,C1055,Galway,Mobile App,Office Chair,Furniture,1,179.99,0.0,179.99,131.59,48.4,Completed,2024-06,0.2689038279904439
ORD00058,2024-04-12,C1063,Waterford,Website,Smart Watch,Wearables,1,149.99,0.05,142.49,87.02,55.47,Completed,2024-04,0.38929047652466836
ORD00059,2024-01-12,C1076,Galway,Mobile App,Wireless Mouse,Accessories,1,19.99,0.15,16.99,8.34,8.65,Completed,2024-01,0.509123013537375
ORD00060,2024-11-01,C1099,Galway,Retail Store,Office Chair,Furniture,3,179.99,0.0,539.97,351.5,188.47,Completed,2024-11,0.34903790951349145
ORD00062,2024-10-26,C1204,Cork,Website,Office Chair,Furniture,2,179.99,0.0,359.98,250.14,109.84,Completed,2024-10,0.30512806267014836
ORD00063,2024-08-19,C1142,Dublin,Website,Keyboard,Accessories,2,74.99,0.0,149.98,86.68,63.3,Completed,2024-08,0.42205627416988933
ORD00064,2024-02-05,C1191,Waterford,Website,USB-C Hub,Accessories,1,39.99,0.0,39.99,23.95,16.04,Completed,2024-02,0.40110027506876716
ORD00065,2024-02-08,C1216,Galway,Mobile App,Wireless Mouse,Accessories,2,19.99,0.1,35.98,19.63,16.35,Completed,2024-02,0.45441912173429694
ORD00066,2024-07-14,C1019,Limerick,Marketplace,USB-C Hub,Accessories,1,39.99,0.1,35.99,21.9,14.09,Completed,2024-07,0.39149763823284245
ORD00067,2024-03-16,C1084,Galway,Marketplace,Standing Desk,Furniture,2,299.99,0.0,599.98,300.08,299.9,Completed,2024-03,0.4998499949998333
ORD00068,2024-12-10,C1025,Cork,Retail Store,Keyboard,Accessories,1,74.99,0.0,74.99,45.47,29.52,Completed,2024-12,0.39365248699826644
ORD00069,2024-03-01,C1228,Waterford,Mobile App,Office Chair,Furniture,1,179.99,0.1,161.99,97.4,64.59,Completed,2024-03,0.39872831656275076
ORD00072,2024-02-27,C1180,Galway,Mobile App,Keyboard,Accessories,2,74.99,0.15,127.48,70.46,57.02,Completed,2024-02,0.4472858487605899
ORD00073,2024-09-08,C1174,Limerick,Retail Store,Fitness Band,Wearables,1,49.99,0.0,49.99,24.04,25.95,Completed,2024-09,0.5191038207641528
ORD00074,2024-06-18,C1000,Galway,Marketplace,Keyboard,Accessories,1,74.99,0.1,67.49,37.94,29.55,Completed,2024-06,0.43784264335457107
ORD00075,2024-05-28,C1064,Galway,Website,Wireless Mouse,Accessories,3,19.99,0.0,59.97,39.9,20.07,Completed,2024-05,0.33466733366683343
ORD00076,2024-01-25,C1071,Dublin,Website,Standing Desk,Furniture,1,299.99,0.1,269.99,182.64,87.35,Completed,2024-01,0.3235305011296714
ORD00077,2024-05-16,C1111,Waterford,Marketplace,Headphones,Audio,2,129.99,0.0,259.98,141.64,118.34,Completed,2024-05,0.45518886068159087
ORD00078,2024-11-19,C1102,Waterford,Mobile App,Speaker,Audio,2,54.99,0.1,98.98,70.27,28.71,Completed,2024-11,0.29005859769650433
ORD00079,2024-03-11,C1164,Galway,Retail Store,Laptop Stand,Accessories,3,28.99,0.1,78.27,46.74,31.53,Completed,2024-03,0.40283633576082795
ORD00080,2024-05-24,C1076,Galway,Marketplace,Office Chair,Furniture,1,179.99,0.1,161.99,95.23,66.76,Completed,2024-05,0.4121242051978517
ORD00081,2024-03-02,C1042,Cork,Website,USB-C Hub,Accessories,1,39.99,0.15,33.99,22.23,11.76,Completed,2024-03,0.34598411297440423
ORD00082,2024-08-18,C1109,Cork,Mobile App,Fitness Band,Wearables,2,49.99,0.1,89.98,64.39,25.59,Completed,2024-08,0.28439653256279174
ORD00084,2024-05-18,C1086,Dublin,Retail Store,Smart Watch,Wearables,1,149.99,0.15,127.49,68.16,59.33,Completed,2024-05,0.46536983292807277
ORD00085,2024-04-20,C1023,Galway,Mobile App,Speaker,Audio,1,54.99,0.15,46.74,28.87,17.87,Completed,2024-04,0.3823277706461275
ORD00086,2024-01-12,C1032,Dublin,Retail Store,Fitness Band,Wearables,1,49.99,0.05,47.49,33.27,14.22,Completed,2024-01,0.2994314592545799
ORD00088,2024-09-24,C1248,Dublin,Retail Store,USB-C Hub,Accessories,2,39.99,0.0,79.98,41.6,38.38,Completed,2024-09,0.479869967491873
ORD00089,2024-01-20,C1165,Galway,Mobile App,Laptop Stand,Accessories,1,28.99,0.0,28.99,15.67,13.32,Completed,2024-01,0.4594687823387375
ORD00090,2024-06-02,C1134,Waterford,Mobile App,Office Chair,Furniture,2,179.99,0.0,359.98,182.1,177.88,Completed,2024-06,0.4941385632535141
ORD00091,2024-06-03,C1117,Galway,Marketplace,USB-C Hub,Accessories,2,39.99,0.0,79.98,38.61,41.37,Completed,2024-06,0.5172543135783946
ORD00092,2024-01-15,C1245,Limerick,Marketplace,USB-C Hub,Accessories,1,39.99,0.0,39.99,24.88,15.11,Completed,2024-01,0.3778444611152788
ORD00093,2024-04-26,C1170,Limerick,Marketplace,USB-C Hub,Accessories,1,39.99,0.1,35.99,18.03,17.96,Completed,2024-04,0.4990275076410114
ORD00094,2024-07-21,C1050,Dublin,Marketplace,Laptop Stand,Accessories,2,28.99,0.1,52.18,29.96,22.22,Completed,2024-07,0.4258336527405136
ORD00095,2024-06-08,C1196,Cork,Mobile App,Office Chair,Furniture,1,179.99,0.1,161.99,118.6,43.39,Completed,2024-06,0.26785604049632694
ORD00097,2024-03-15,C1236,Limerick,Website,Fitness Band,Wearables,1,49.99,0.0,49.99,36.33,13.66,Completed,2024-03,0.273254650930186
ORD00098,2024-04-04,C1100,Limerick,Marketplace,Standing Desk,Furniture,1,299.99,0.0,299.99,199.36,100.63,Completed,2024-04,0.33544451481716053
ORD00099,2024-11-30,C1239,Waterford,Retail Store,Wireless Mouse,Accessories,3,19.99,0.05,56.97,30.17,26.8,Completed,2024-11,0.47042302966473587
ORD00100,2024-02-25,C1000,Dublin,Marketplace,Smart Watch,Wearables,3,149.99,0.05,427.47,254.36,173.11,Completed,2024-02,0.40496409104732495
ORD00101,2024-04-16,C1097,Galway,Marketplace,Smart Watch,Wearables,4,149.99,0.0,599.96,375.51,224.45,Completed,2024-04,0.3741082738849256
ORD00102,2024-10-04,C1235,Limerick,Mobile App,Smart Watch,Wearables,1,149.99,0.1,134.99,71.66,63.33,Completed,2024-10,0.46914586265649305
ORD00103,2024-11-16,C1196,Limerick,Website,Fitness Band,Wearables,1,49.99,0.1,44.99,24.5,20.49,Completed,2024-11,0.45543454100911307
ORD00104,2024-02-02,C1230,Waterford,Marketplace,Fitness Band,Wearables,1,49.99,0.0,49.99,27.34,22.65,Completed,2024-02,0.45309061812362467
ORD00105,2024-12-19,C1081,Galway,Marketplace,Speaker,Audio,4,54.99,0.15,186.97,91.86,95.11,Completed,2024-12,0.5086912338877895
ORD00107,2024-03-08,C1237,Limerick,Mobile App,Smart Watch,Wearables,2,149.99,0.1,269.98,186.79,83.19,Completed,2024-03,0.30813393584709975
ORD00108,2024-06-16,C1220,Galway,Retail Store,Headphones,Audio,3,129.99,0.0,389.97,248.76,141.21,Completed,2024-06,0.3621047772905608
ORD00109,2024-03-22,C1063,Limerick,Website,Standing Desk,Furniture,1,299.99,0.0,299.99,174.55,125.44,Completed,2024-03,0.4181472715757192
ORD00110,2024-08-06,C1226,Dublin,Website,Fitness Band,Wearables,2,49.99,0.05,94.98,49.56,45.42,Completed,2024-08,0.47820593809222994
ORD00111,2024-12-29,C1248,Limerick,Mobile App,Wireless Mouse,Accessories,1,19.99,0.1,17.99,10.97,7.02,Completed,2024-12,0.39021678710394664
ORD00112,2024-12-06,C1194,Dublin,Marketplace,Smart Watch,Wearables,1,149.99,0.0,149.99,101.16,48.83,Completed,2024-12,0.3255550370024668
ORD00113,2024-04-11,C1112,Cork,Mobile App,Standing Desk,Furniture,1,299.99,0.05,284.99,191.48,93.51,Completed,2024-04,0.32811677602722905
ORD00114,2024-02-03,C1101,Galway,Mobile App,Keyboard,Accessories,1,74.99,0.15,63.74,33.71,30.03,Completed,2024-02,0.4711327267022278
ORD00116,2024-05-30,C1059,Dublin,Website,USB-C Hub,Accessories,3,39.99,0.05,113.97,55.9,58.07,Completed,2024-05,0.5095200491357375
ORD00117,2024-04-01,C1114,Waterford,Marketplace,Standing Desk,Furniture,1,299.99,0.0,299.99,173.03,126.96,Completed,2024-04,0.42321410713690455
ORD00118,2024-06-28,C1055,Dublin,Marketplace,Laptop Stand,Accessories,1,28.99,0.15,24.64,16.37,8.27,Completed,2024-06,0.33563311688311687
ORD00119,2024-11-29,C1233,Cork,Website,Laptop Stand,Accessories,1,28.99,0.05,27.54,13.49,14.05,Completed,2024-11,0.5101670297748729
ORD00120,2024-02-09,C1052,Dublin,Retail Store,Smart Watch,Wearables,2,149.99,0.0,299.98,192.43,107.55,Completed,2024-02,0.35852390159343955
ORD00121,2024-03-20,C1163,Waterford,Website,Wireless Mouse,Accessories,1,19.99,0.1,17.99,11.74,6.25,Completed,2024-03,0.3474152306837132
ORD00122,2024-12-07,C1078,Limerick,Website,Smart Watch,Wearables,2,149.99,0.1,269.98,198.96,71.02,Completed,2024-12,0.26305652270538554
ORD00123,2024-07-05,C1164,Cork,Retail Store,Standing Desk,Furniture,3,299.99,0.1,809.97,476.49,333.48,Completed,2024-07,0.4117189525537983
ORD00124,2024-08-04,C1029,Dublin,Retail Store,USB-C Hub,Accessories,3,39.99,0.1,107.97,77.14,30.83,Completed,2024-08,0.285542280263036
ORD00125,2024-01-27,C1141,Cork,Retail Store,Speaker,Audio,1,54.99,0.0,54.99,28.25,26.74,Completed,2024-01,0.48627023095108196
ORD00127,2024-01-23,C1249,Limerick,Marketplace,Wireless Mouse,Accessories,1,19.99,0.0,19.99,11.16,8.83,Completed,2024-01,0.44172086043021513
ORD00128,2024-03-23,C1163,Cork,Retail Store,Smart Watch,Wearables,1,149.99,0.15,127.49,84.01,43.48,Completed,2024-03,0.3410463565769864
ORD00129,2024-01-22,C1102,Waterford,Mobile App,USB-C Hub,Accessories,3,39.99,0.0,119.97,75.22,44.75,Completed,2024-01,0.37300991914645326
ORD00130,2024-10-14,C1215,Dublin,Marketplace,Wireless Mouse,Accessories,1,19.99,0.0,19.99,9.81,10.18,Completed,2024-10,0.5092546273136569
ORD00131,2024-06-06,C1149,Cork,Retail Store,Standing Desk,Furniture,1,299.99,0.05,284.99,184.89,100.1,Completed,2024-06,0.3512403943998035
ORD00132,2024-01-02,C1158,Limerick,Retail Store,Speaker,Audio,1,54.99,0.1,49.49,26.06,23.43,Completed,2024-01,0.47342897555061625
ORD00133,2024-08-30,C1102,Dublin,Website,Standing Desk,Furniture,2,299.99,0.1,539.98,376.64,163.34,Completed,2024-08,0.30249268491425607
ORD00134,2024-12-02,C1010,Dublin,Mobile App,Smart Watch,Wearables,1,149.99,0.1,134.99,82.5,52.49,Completed,2024-12,0.38884361804578116
ORD00135,2024-09-15,C1229,Limerick,Mobile App,Speaker,Audio,2,54.99,0.15,93.48,46.81,46.67,Completed,2024-09,0.4992511767222935
ORD00136,2024-09-08,C1073,Cork,Mobile App,Wireless Mouse,Accessories,4,19.99,0.0,79.96,42.41,37.55,Completed,2024-09,0.46960980490245124
ORD00137,2024-11-10,C1070,Limerick,Mobile App,Speaker,Audio,2,54.99,0.05,104.48,54.46,50.02,Completed,2024-11,0.4787519142419602
ORD00138,2024-05-01,C1081,Galway,Website,Fitness Band,Wearables,1,49.99,0.05,47.49,30.4,17.09,Completed,2024-05,0.35986523478627075
ORD00139,2024-07-11,C1043,Galway,Website,Smart Watch,Wearables,1,149.99,0.05,142.49,93.58,48.91,Completed,2024-07,0.34325215804617865
ORD00140,2024-08-19,C1142,Waterford,Website,Laptop Stand,Accessories,2,28.99,0.05,55.08,40.27,14.81,Completed,2024-08,0.268881626724764
ORD00141,2024-07-09,C1067,Limerick,Marketplace,Office Chair,Furniture,2,179.99,0.1,323.98,217.67,106.31,Completed,2024-07,0.32813753935428114
ORD00142,2024-03-31,C1157,Dublin,Marketplace,Speaker,Audio,1,54.99,0.0,54.99,32.72,22.27,Completed,2024-03,0.40498272413166025
ORD00143,2024-06-09,C1187,Dublin,Website,Headphones,Audio,1,129.99,0.15,110.49,79.71,30.78,Completed,2024-06,0.27857724680966606
ORD00144,2024-07-05,C1229,Dublin,Mobile App,Headphones,Audio,2,129.99,0.1,233.98,137.72,96.26,Completed,2024-07,0.41140268399008467
ORD00145,2024-10-17,C1090,Galway,Website,Standing Desk,Furniture,2,299.99,0.0,599.98,296.48,303.5,Completed,2024-10,0.5058501950065002
ORD00146,2024-03-09,C1052,Galway,Retail Store,Office Chair,Furniture,1,179.99,0.15,152.99,85.41,67.58,Completed,2024-03,0.4417282175305575
ORD00147,2024-08-18,C1024,Dublin,Mobile App,Laptop Stand,Accessories,3,28.99,0.0,86.97,57.74,29.23,Completed,2024-08,0.33609290559963206
ORD00148,2024-01-29,C1165,Waterford,Marketplace,Headphones,Audio,1,129.99,0.05,123.49,90.33,33.16,Completed,2024-01,0.26852376710664827
ORD00149,2024-05-07,C1042,Dublin,Website,Standing Desk,Furniture,1,299.99,0.15,254.99,171.03,83.96,Completed,2024-05,0.32926781442409503
ORD00150,2024-02-23,C1003,Waterford,Mobile App,Laptop Stand,Accessories,1,28.99,0.0,28.99,15.12,13.87,Completed,2024-02,0.4784408416695412
ORD00151,2024-07-31,C1208,Waterford,Mobile App,USB-C Hub,Accessories,1,39.99,0.15,33.99,22.04,11.95,Completed,2024-07,0.3515739923506913
ORD00152,2024-09-01,C1183,Waterford,Website,Wireless Mouse,Accessories,1,19.99,0.0,19.99,14.76,5.23,Completed,2024-09,0.2616308154077039
ORD00154,2024-12-21,C1241,Galway,Website,Headphones,Audio,1,129.99,0.0,129.99,66.56,63.43,Completed,2024-12,0.4879606123547965
ORD00156,2024-04-13,C1241,Cork,Marketplace,Laptop Stand,Accessories,1,28.99,0.0,28.99,20.26,8.73,Completed,2024-04,0.30113832355984826
ORD00157,2024-11-18,C1235,Waterford,Retail Store,Smart Watch,Wearables,1,149.99,0.0,149.99,86.79,63.2,Completed,2024-11,0.42136142409493965
ORD00158,2024-04-29,C1146,Galway,Mobile App,Office Chair,Furniture,2,179.99,0.0,359.98,213.71,146.27,Completed,2024-04,0.40632812934051893
ORD00159,2024-01-14,C1028,Dublin,Mobile App,Standing Desk,Furniture,1,299.99,0.0,299.99,155.27,144.72,Completed,2024-01,0.48241608053601787
ORD00160,2024-12-20,C1164,Dublin,Website,Keyboard,Accessories,2,74.99,0.0,149.98,73.61,76.37,Completed,2024-12,0.509201226830244
ORD00161,2024-09-30,C1228,Dublin,Retail Store,Wireless Mouse,Accessories,3,19.99,0.05,56.97,30.3,26.67,Completed,2024-09,0.4681411269088995
ORD00162,2024-11-20,C1022,Galway,Retail Store,USB-C Hub,Accessories,1,39.99,0.0,39.99,19.55,20.44,Completed,2024-11,0.5111277819454864
ORD00163,2024-06-21,C1108,Galway,Website,Wireless Mouse,Accessories,2,19.99,0.0,39.98,22.25,17.73,Completed,2024-06,0.44347173586793404
ORD00164,2024-11-04,C1128,Limerick,Marketplace,Headphones,Audio,1,129.99,0.05,123.49,88.5,34.99,Completed,2024-11,0.283342780791967
ORD00165,2024-02-20,C1088,Limerick,Website,Laptop Stand,Accessories,2,28.99,0.0,57.98,34.41,23.57,Completed,2024-02,0.40651948947913075
ORD00166,2024-05-27,C1043,Limerick,Website,USB-C Hub,Accessories,2,39.99,0.0,79.98,50.34,29.64,Completed,2024-05,0.3705926481620405
ORD00168,2024-03-22,C1072,Cork,Mobile App,Standing Desk,Furniture,1,299.99,0.15,254.99,139.67,115.32,Completed,2024-03,0.4522530295305698
ORD00169,2024-12-22,C1143,Dublin,Marketplace,Wireless Mouse,Accessories,3,19.99,0.0,59.97,36.43,23.54,Completed,2024-12,0.3925295981323995
ORD00170,2024-11-26,C1006,Galway,Mobile App,Smart Watch,Wearables,3,149.99,0.0,449.97,265.37,184.6,Completed,2024-11,0.4102495721937018
ORD00171,2024-11-18,C1059,Limerick,Mobile App,Smart Watch,Wearables,3,149.99,0.15,382.47,200.6,181.87,Completed,2024-11,0.4755144194315894
ORD00172,2024-09-24,C1039,Limerick,Marketplace,Standing Desk,Furniture,2,299.99,0.05,569.98,359.78,210.2,Completed,2024-09,0.3687848696445489
ORD00173,2024-03-05,C1085,Limerick,Mobile App,Fitness Band,Wearables,2,49.99,0.05,94.98,59.89,35.09,Completed,2024-03,0.36944619919983157
ORD00174,2024-03-20,C1249,Cork,Marketplace,Headphones,Audio,1,129.99,0.15,110.49,57.48,53.01,Completed,2024-03,0.4797719250610915
ORD00176,2024-06-03,C1187,Galway,Retail Store,Wireless Mouse,Accessories,1,19.99,0.0,19.99,14.71,5.28,Completed,2024-06,0.26413206603301653
ORD00177,2024-07-17,C1118,Dublin,Website,Wireless Mouse,Accessories,2,19.99,0.0,39.98,22.11,17.87,Completed,2024-07,0.44697348674337173
ORD00178,2024-05-31,C1118,Dublin,Mobile App,Smart Watch,Wearables,2,149.99,0.15,254.98,187.42,67.56,Completed,2024-05,0.2649619578006118
ORD00179,2024-08-08,C1179,Waterford,Retail Store,Smart Watch,Wearables,1,149.99,0.0,149.99,107.4,42.59,Completed,2024-08,0.2839522634842323
ORD00180,2024-08-20,C1110,Galway,Marketplace,Standing Desk,Furniture,3,299.99,0.0,899.97,582.1,317.87,Completed,2024-08,0.353200662244297
ORD00181,2024-12-30,C1161,Cork,Marketplace,Wireless Mouse,Accessories,3,19.99,0.0,59.97,40.98,18.99,Completed,2024-12,0.31665832916458225
ORD00182,2024-09-22,C1172,Cork,Marketplace,Fitness Band,Wearables,1,49.99,0.15,42.49,29.88,12.61,Completed,2024-09,0.2967757119322193
ORD00183,2024-10-05,C1055,Cork,Mobile App,Smart Watch,Wearables,3,149.99,0.0,449.97,220.45,229.52,Completed,2024-10,0.5100784496744227
ORD00184,2024-08-31,C1131,Dublin,Marketplace,Wireless Mouse,Accessories,3,19.99,0.1,53.97,33.5,20.47,Completed,2024-08,0.3792847878450991
ORD00185,2024-12-16,C1047,Limerick,Website,Smart Watch,Wearables,2,149.99,0.1,269.98,144.34,125.64,Completed,2024-12,0.4653678050225942
ORD00186,2024-07-14,C1102,Dublin,Website,Standing Desk,Furniture,1,299.99,0.0,299.99,163.69,136.3,Completed,2024-07,0.45434847828260944
ORD00188,2024-03-25,C1033,Dublin,Mobile App,Office Chair,Furniture,4,179.99,0.1,647.96,388.87,259.09,Completed,2024-03,0.3998549293166244
ORD00191,2024-12-01,C1077,Galway,Retail Store,Keyboard,Accessories,1,74.99,0.05,71.24,40.83,30.41,Completed,2024-12,0.42686692869174625
ORD00192,2024-06-04,C1218,Limerick,Website,Standing Desk,Furniture,2,299.99,0.05,569.98,296.23,273.75,Completed,2024-06,0.4802800098249061
ORD00193,2024-06-25,C1162,Waterford,Website,Standing Desk,Furniture,3,299.99,0.0,899.97,556.15,343.82,Completed,2024-06,0.3820349567207796
ORD00194,2024-02-21,C1148,Cork,Mobile App,USB-C Hub,Accessories,4,39.99,0.05,151.96,82.82,69.14,Completed,2024-02,0.45498815477757304
ORD00195,2024-07-25,C1202,Waterford,Mobile App,Fitness Band,Wearables,1,49.99,0.0,49.99,26.71,23.28,Completed,2024-07,0.46569313862772554
ORD00196,2024-10-07,C1201,Galway,Mobile App,Standing Desk,Furniture,4,299.99,0.0,1199.96,784.53,415.43,Completed,2024-10,0.3462032067735591
ORD00197,2024-02-29,C1142,Dublin,Marketplace,USB-C Hub,Accessories,1,39.99,0.1,35.99,23.56,12.43,Completed,2024-02,0.3453737149208113
